Pollster,Date,Polled,Model,R,D,Gap,538 Grade,Mean-Reverted Bias,Grade,Adjusted R,Adjusted D,Adjusted Gap
Rasmussen Reports/Pulse Opinion Research, 7/5/2018,2500,LV,40,48,-8,C+,-1.49,2.3,39.26,48.74,-9.49
YouGov, 7/3/2018,1263,RV,38,42,-4,B,0.26,3,38.13,41.87,-3.74
Rasmussen Reports/Pulse Opinion Research, 6/28/2018,2500,LV,40,46,-6,C+,-1.49,2.3,39.26,46.74,-7.49
Ipsos, 7/2/2018,2252,RV,34,44,-10,B+,0.6,3.3,34.3,43.7,-9.4
Quinnipiac University, 7/1/2018,1020,RV,41,50,-9,A-,0.07,3.7,41.03,49.97,-8.93
Harris Interactive, 6/25/2018,1448,RV,36,45,-9,C+,-1.52,2.3,35.24,45.76,-10.52
IBD/TIPP, 6/29/2018,900,A,40,48,-8,A-,-0.78,3.7,39.61,48.39,-8.78
YouGov, 6/26/2018,1278,RV,38,43,-5,B,0.26,3,38.13,42.87,-4.74
Ipsos, 6/26/2018,1199,RV,38,41,-3,B+,0.6,3.3,38.3,40.7,-2.4
Rasmussen Reports/Pulse Opinion Research, 6/21/2018,2500,LV,41,45,-4,C+,-1.49,2.3,40.26,45.74,-5.49
YouGov, 6/19/2018,1272,RV,37,44,-7,B,0.26,3,37.13,43.87,-6.74
Ipsos, 6/19/2018,1604,RV,36,42,-6,B+,0.6,3.3,36.3,41.7,-5.4
Suffolk University, 6/18/2018,1000,RV,39,45,-6,B+,0.6,3.3,39.3,44.7,-5.4
Quinnipiac University, 6/17/2018,905,RV,43,49,-6,A-,0.07,3.7,43.03,48.97,-5.93
CNN/Opinion Research Corp., 6/17/2018,901,RV,42,50,-8,B+,0.06,3.3,42.03,49.97,-7.94
Gallup, 6/17/2018,1346,RV,43,48,-5,B,-0.9,3,42.55,48.45,-5.9
Monmouth University, 6/13/2018,711,RV,41,48,-7,A+,1.43,4,41.71,47.29,-5.57
Rasmussen Reports/Pulse Opinion Research, 6/14/2018,2500,LV,41,45,-4,C+,-1.49,2.3,40.26,45.74,-5.49
YouGov, 6/12/2018,1308,RV,37,43,-6,B,0.26,3,37.13,42.87,-5.74
Ipsos, 6/12/2018,2018,RV,35,45,-10,B+,0.6,3.3,35.3,44.7,-9.4
Pew Research Center, 6/12/2018,1608,RV,43,48,-5,B-,0.63,2.7,43.31,47.69,-4.37
Rasmussen Reports/Pulse Opinion Research, 6/7/2018,2500,LV,40,44,-4,C+,-1.49,2.3,39.26,44.74,-5.49
Fox News/Anderson Robbins Research/Shaw & Co. Research, 6/6/2018,1001,RV,39,48,-9,A,0.61,4,39.31,47.69,-8.39
YouGov, 6/5/2018,1292,RV,38,44,-6,B,0.26,3,38.13,43.87,-5.74
Ipsos, 6/5/2018,1265,RV,32,43,-11,B+,0.6,3.3,32.3,42.7,-10.4
NBC News/Wall Street Journal, 6/4/2018,900,RV,40,50,-10,A-,0.81,3.7,40.4,49.6,-9.19
Quinnipiac University, 6/5/2018,1223,RV,40,47,-7,A-,0.07,3.7,40.03,46.97,-6.93
IBD/TIPP, 6/5/2018,905,A,40,47,-7,A-,-0.78,3.7,39.61,47.39,-7.78
Rasmussen Reports/Pulse Opinion Research, 5/31/2018,2500,LV,41,45,-4,C+,-1.49,2.3,40.26,45.74,-5.49
YouGov, 5/29/2018,1279,RV,39,42,-3,B,0.26,3,39.13,41.87,-2.74
Ipsos, 5/29/2018,1931,RV,37,39,-2,B+,0.6,3.3,37.3,38.7,-1.4
Rasmussen Reports/Pulse Opinion Research, 5/25/2018,2500,LV,42,43,-1,C+,-1.49,2.3,41.26,43.74,-2.49
Harris Interactive, 5/22/2018,1347,RV,37,44,-7,C+,-1.52,2.3,36.24,44.76,-8.52
YouGov, 5/22/2018,1263,RV,38,43,-5,B,0.26,3,38.13,42.87,-4.74
Ipsos, 5/22/2018,1080,RV,37,40,-3,B+,0.6,3.3,37.3,39.7,-2.4
Rasmussen Reports/Pulse Opinion Research, 5/17/2018,2500,LV,42,43,-1,C+,-1.49,2.3,41.26,43.74,-2.49
YouGov, 5/15/2018,1231,RV,37,42,-5,B,0.26,3,37.13,41.87,-4.74
Ipsos, 5/15/2018,1290,RV,37,38,-1,B+,0.6,3.3,37.3,37.7,-0.4
Rasmussen Reports/Pulse Opinion Research, 5/10/2018,2500,LV,40,46,-6,C+,-1.49,2.3,39.26,46.74,-7.49
CNN/Opinion Research Corp., 5/5/2018,901,RV,44,47,-3,B+,0.06,3.3,44.03,46.97,-2.94
YouGov, 5/8/2018,1232,RV,35,44,-9,B,0.26,3,35.13,43.87,-8.74
Ipsos, 5/8/2018,1171,RV,38,39,-1,B+,0.6,3.3,38.3,38.7,-0.4
YouGov, 5/1/2018,1273,RV,39,42,-3,B,0.26,3,39.13,41.87,-2.74
Ipsos, 5/1/2018,1337,RV,37,43,-6,B+,0.6,3.3,37.3,42.7,-5.4
Pew Research Center, 5/1/2018,1221,RV,43,48,-5,B-,0.63,2.7,43.31,47.69,-4.37
Monmouth University, 4/30/2018,681,RV,41,49,-8,A+,1.43,4,41.71,48.29,-6.57
Harris Interactive, 4/24/2018,1549,RV,34,43,-9,C+,-1.52,2.3,33.24,43.76,-10.52
YouGov, 4/24/2018,1270,RV,38,43,-5,B,0.26,3,38.13,42.87,-4.74
Quinnipiac University, 4/24/2018,1193,RV,40,48,-8,A-,0.07,3.7,40.03,47.97,-7.93
Ipsos, 4/24/2018,1248,RV,34,45,-11,B+,0.6,3.3,34.3,44.7,-10.4
YouGov, 4/17/2018,1274,RV,38,43,-5,B,0.26,3,38.13,42.87,-4.74
Marist College, 4/13/2018,827,RV,39,44,-5,A,-0.46,4,38.77,44.23,-5.46
Ipsos, 4/17/2018,1238,RV,34,44,-10,B+,0.6,3.3,34.3,43.7,-9.4
ABC News/Washington Post, 4/11/2018,865,RV,43,47,-4,A+,0.61,4,43.31,46.69,-3.39
NBC News/Wall Street Journal, 4/11/2018,900,A,40,47,-7,A-,0.81,3.7,40.4,46.6,-6.19
YouGov, 4/10/2018,1292,RV,36,44,-8,B,0.26,3,36.13,43.87,-7.74
Rasmussen Reports/Pulse Opinion Research, 4/9/2018,1000,LV,40,45,-5,C+,-1.49,2.3,39.26,45.74,-6.49
Quinnipiac University, 4/9/2018,1181,RV,43,46,-3,A-,0.07,3.7,43.03,45.97,-2.93
Ipsos, 4/10/2018,1219,RV,34,44,-10,B+,0.6,3.3,34.3,43.7,-9.4
YouGov, 4/3/2018,1246,RV,36,43,-7,B,0.26,3,36.13,42.87,-6.74
Ipsos, 4/3/2018,1519,RV,34,43,-9,B+,0.6,3.3,34.3,42.7,-8.4
Harris Interactive, 3/29/2018,1340,RV,34,45,-11,C+,-1.52,2.3,33.24,45.76,-12.52
Ipsos, 3/27/2018,1392,RV,35,42,-7,B+,0.6,3.3,35.3,41.7,-6.4
YouGov, 3/27/2018,1330,RV,35,42,-7,B,0.26,3,35.13,41.87,-6.74
CNN/Opinion Research Corp., 3/25/2018,913,RV,44,50,-6,B+,0.06,3.3,44.03,49.97,-5.94
Marist College, 3/21/2018,1015,RV,39,44,-5,A,-0.46,4,38.77,44.23,-5.46
Fox News/Anderson Robbins Research/Shaw & Co. Research, 3/21/2018,1014,RV,41,46,-5,A,0.61,4,41.31,45.69,-4.39
YouGov, 3/20/2018,1284,RV,38,44,-6,B,0.26,3,38.13,43.87,-5.74
Quinnipiac University, 3/20/2018,1291,RV,43,49,-6,A-,0.07,3.7,43.03,48.97,-5.93
Ipsos, 3/20/2018,1337,RV,37,40,-3,B+,0.6,3.3,37.3,39.7,-2.4
NBC News/Wall Street Journal, 3/14/2018,930,RV,40,50,-10,A-,0.81,3.7,40.4,49.6,-9.19
YouGov, 3/13/2018,1291,RV,38,43,-5,B,0.26,3,38.13,42.87,-4.74
Ipsos, 3/13/2018,1411,A,30,38,-8,B+,0.6,3.3,30.3,37.7,-7.4
George Washington University (Battleground), 3/8/2018,1000,RV,40,49,-9,B,-0.98,3,39.51,49.49,-9.98
YouGov, 3/6/2018,1310,RV,37,43,-6,B,0.26,3,37.13,42.87,-5.74
Ipsos, 3/6/2018,2927,A,31,38,-7,B+,0.6,3.3,31.3,37.7,-6.4
Quinnipiac University, 3/5/2018,1122,RV,38,48,-10,A-,0.07,3.7,38.03,47.97,-9.93
Monmouth University, 3/5/2018,708,RV,41,50,-9,A+,1.43,4,41.71,49.29,-7.57
Rasmussen Reports/Pulse Opinion Research, 3/4/2018,1000,LV,40,46,-6,C+,-1.49,2.3,39.26,46.74,-7.49
YouGov, 2/27/2018,1296,RV,38,40,-2,B,0.26,3,38.13,39.87,-1.74
Ipsos, 2/27/2018,1651,A,31,37,-6,B+,0.6,3.3,31.3,36.7,-5.4
Suffolk University, 2/24/2018,1000,RV,32,47,-15,B+,0.6,3.3,32.3,46.7,-14.4
CNN/Opinion Research Corp., 2/23/2018,909,RV,38,54,-16,B+,0.06,3.3,38.03,53.97,-15.94
Marist College, 2/21/2018,819,RV,39,46,-7,A,-0.46,4,38.77,46.23,-7.46
YouGov, 2/20/2018,1308,RV,35,43,-8,B,0.26,3,35.13,42.87,-7.74
Ipsos, 2/20/2018,1104,A,30,38,-8,B+,0.6,3.3,30.3,37.7,-7.4
Harris Interactive, 2/19/2018,1934,RV,36,41,-5,C+,-1.52,2.3,35.24,41.76,-6.52
Quinnipiac University, 2/19/2018,1249,RV,38,53,-15,A-,0.07,3.7,38.03,52.97,-14.93
YouGov, 2/13/2018,1280,RV,38,42,-4,B,0.26,3,38.13,41.87,-3.74
Ipsos, 2/13/2018,1515,A,30,39,-9,B+,0.6,3.3,30.3,38.7,-8.4
Marist College, 2/7/2018,807,RV,38,49,-11,A,-0.46,4,37.77,49.23,-11.46
YouGov, 2/6/2018,1320,RV,37,43,-6,B,0.26,3,37.13,42.87,-5.74
Ipsos, 2/6/2018,3110,A,31,38,-7,B+,0.6,3.3,31.3,37.7,-6.4
Quinnipiac University, 2/5/2018,1333,RV,40,49,-9,A-,0.07,3.7,40.03,48.97,-8.93
IBD/TIPP, 2/2/2018,832,RV,41,46,-5,A-,-0.78,3.7,40.61,46.39,-5.78
Monmouth University, 1/30/2018,711,RV,45,47,-2,A+,1.43,4,45.71,46.29,-0.57
YouGov, 1/30/2018,1264,RV,37,42,-5,B,0.26,3,37.13,41.87,-4.74
Ipsos, 1/30/2018,1856,A,31,37,-6,B+,0.6,3.3,31.3,36.7,-5.4
Rasmussen Reports/Pulse Opinion Research, 1/25/2018,1000,LV,37,45,-8,C+,-1.49,2.3,36.26,45.74,-9.49
Fox News/Anderson Robbins Research/Shaw & Co. Research, 1/23/2018,1002,RV,38,44,-6,A,0.61,4,38.31,43.69,-5.39
YouGov, 1/23/2018,1301,RV,37,41,-4,B,0.26,3,37.13,40.87,-3.74
Quinnipiac University, 1/23/2018,1245,RV,38,51,-13,A-,0.07,3.7,38.03,50.97,-12.93
Ipsos, 1/23/2018,2981,A,30,38,-8,B+,0.6,3.3,30.3,37.7,-7.4
ABC News/Washington Post, 1/18/2018,846,RV,39,51,-12,A+,0.61,4,39.31,50.69,-11.39
NBC News/Wall Street Journal, 1/17/2018,765,RV,43,49,-6,A-,0.81,3.7,43.4,48.6,-5.19
YouGov, 1/16/2018,1311,RV,36,42,-6,B,0.26,3,36.13,41.87,-5.74
Ipsos, 1/16/2018,1638,A,32,37,-5,B+,0.6,3.3,32.3,36.7,-4.4
Quinnipiac University, 1/16/2018,1212,RV,39,50,-11,A-,0.07,3.7,39.03,49.97,-10.93
Pew Research Center, 1/15/2018,1215,RV,39,53,-14,B-,0.63,2.7,39.31,52.69,-13.37
Marist College, 1/10/2018,1092,RV,40,46,-6,A,-0.46,4,39.77,46.23,-6.46
Emerson College, 1/11/2018,600,RV,40,45,-5,B+,0.11,3.3,40.05,44.95,-4.89
YouGov, 1/9/2018,1327,RV,37,44,-7,B,0.26,3,37.13,43.87,-6.74
Quinnipiac University, 1/9/2018,1106,RV,35,52,-17,A-,0.07,3.7,35.03,51.97,-16.93
Ipsos, 1/9/2018,1616,A,31,40,-9,B+,0.6,3.3,31.3,39.7,-8.4
YouGov, 1/2/2018,1277,RV,36,42,-6,B,0.26,3,36.13,41.87,-5.74
Ipsos, 1/2/2018,1770,A,31,38,-7,B+,0.6,3.3,31.3,37.7,-6.4
Rasmussen Reports/Pulse Opinion Research,9/25/2018,2500,LV,43,46,-3,C+,-1.49,2.3,42.26,46.74,-4.49
Ipsos,9/25/2018,1425,LV,41,48,-7,B+,0.6,3.3,41.3,47.7,-6.4
Marist College,9/24/2018,802,RV,41,48,-7,A,-0.46,4,40.77,48.23,-7.46
YouGov,9/25/2018,1238,RV,38,46,-8,B,0.26,3,38.13,45.87,-7.74
Gallup,9/23/2018,1308,RV,42,51,-9,B,-0.9,3,41.55,51.45,-9.9
Harris Interactive,9/28/2018,3338,LV,40,48,-8,C+,-1.52,2.3,39.24,48.76,-9.52
McLaughlin & Associates,9/24/2018,1000,LV,42,46,-4,C-,-0.44,1.7,41.78,46.22,-4.44
Change Research,9/28/2018,741,LV,40,48,-8,C+,0.2,2.3,40.1,47.9,-7.8
Civiqs,9/30/2018,2139,A,43,48,-5,C,0,2,43,48,-5
Morning Consult,9/29/2018,993,RV,36,43,-7,B-,0.57,2.7,36.29,42.71,-6.43
Quinnipiac University,9/30/2018,1111,RV,42,49,-7,A-,0.07,3.7,42.03,48.97,-6.93
Ipsos,10/1/2018,2144,LV,38,50,-12,B+,0.6,3.3,38.3,49.7,-11.4
YouGov,10/2/2018,1223,RV,40,45,-5,B,0.26,3,40.13,44.87,-4.74
Marist College,10/1/2018,996,RV,42,48,-6,A,-0.46,4,41.77,48.23,-6.46
Rasmussen Reports/Pulse Opinion Research,9/27/2018,2500,LV,42,47,-5,C+,-1.49,2.3,41.26,47.74,-6.49
Harris Interactive,9/14/2018,3207,LV,41,48,-7,C+,-1.52,2.3,40.24,48.76,-8.52
IBD/TIPP,10/3/2018,846,RV,43,45,-2,A-,-0.78,3.7,42.61,45.39,-2.78
Harris Interactive,9/7/2018,1976,LV,39,49,-10,C+,-1.52,2.3,38.24,49.76,-11.52
Emerson College,10/4/2018,1000,RV,42,50,-8,B+,0.11,3.3,42.05,49.95,-7.89
Harris Interactive,10/5/2018,4549,LV,41,49,-8,C+,-1.52,2.3,40.24,49.76,-9.52
Ipsos,10/8/2018,2022,LV,38,50,-12,B+,0.6,3.3,38.3,49.7,-11.4
SSRS,10/7/2018,739,LV,41,54,-13,A-,-0.07,3.7,40.96,54.04,-13.07
YouGov,10/9/2018,1156,RV,41,47,-6,B,0.26,3,41.13,46.87,-5.74
Morning Consult,10/7/2018,2189,RV,38,48,-10,B-,0.57,2.7,38.29,47.71,-9.43
Harris Interactive,10/7/2018,1000,RV,37,43,-6,C+,-1.52,2.3,36.24,43.76,-7.52
Rasmussen Reports/Pulse Opinion Research,10/4/2018,2500,LV,45,45,0,C+,-1.49,2.3,44.26,45.74,-1.49
Ipsos,10/9/2018,2012,LV,38,50,-12,B+,0.6,3.3,38.3,49.7,-11.4
Greenberg Quinlan Rosner,9/23/2018,700,LV,42,51,-9,C,0,2,42,51,-9
Harris Interactive,10/12/2018,3339,LV,40,49,-9,C+,-1.52,2.3,39.24,49.76,-10.52
ABC News/Washington Post,10/11/2018,752,LV,42,55,-13,A+,0.61,4,42.31,54.69,-12.39
Pew Research Center,10/7/2018,8904,RV,38,47,-9,B-,0.63,2.7,38.31,46.69,-8.37
Public Opinion Strategies,10/7/2018,800,A,36,42,-6,A-,-1.47,3.7,35.27,42.73,-7.47
YouGov,10/16/2018,1273,RV,41,46,-5,B,0.26,3,41.13,45.87,-4.74
Ipsos,10/15/2018,1194,LV,40,50,-10,B+,0.6,3.3,40.3,49.7,-9.4
Morning Consult,10/14/2018,1959,RV,37,44,-7,B-,0.57,2.7,37.29,43.71,-6.43
Rasmussen Reports/Pulse Opinion Research,10/11/2018,2500,LV,44,45,-1,C+,-1.49,2.3,43.26,45.74,-2.49
Kaiser Family Foundation,10/2/2018,1201,A,38,50,-12,C,0,2,38,50,-12
CBS News/New York Times,10/17/2018,975,RV,42,51,-9,A-,0.44,3.7,42.22,50.78,-8.56
Harris Interactive,10/19/2018,3360,LV,41,49,-8,C+,-1.52,2.3,40.24,49.76,-9.52
NBC News/Wall Street Journal,10/17/2018,645,LV,41,50,-9,A-,0.81,3.7,41.4,49.6,-8.19
Ipsos,10/22/2018,2112,LV,43,48,-5,B+,0.6,3.3,43.3,47.7,-4.4
Harris Interactive,10/20/2018,1000,RV,38,44,-6,C+,-1.52,2.3,37.24,44.76,-7.52
Morning Consult,10/19/2018,1968,RV,39,45,-6,B-,-2,2.7,38,46,-8
Rasmussen Reports/Pulse Opinion Research,10/18/2018,2500,LV,44,47,-3,C+,-1.49,2.3,43.26,47.74,-4.49
Suffolk University,10/22/2018,1000,LV,43,51,-8,B+,0.6,3.3,43.3,50.7,-7.4
McLaughlin & Associates,10/22/2018,1000,LV,44,46,-2,C-,-5,1.7,41.5,48.5,-7
Ipsos,10/22/2018,2112,LV,42.5,47.5,-5,B+,0.6,3.3,42.8,47.2,-4.4
Marist College,10/23/2018,738,RV,40,50,-10,A,-0.46,4,39.77,50.23,-10.46
Ipsos,10/30/2018,1375,LV,42,49,-7,B+,0.6,3.3,42.3,48.7,-6.4
Fox News/Anderson Robbins Research/Shaw & Co. Research,10/16/2018,841,LV,42,49,-7,A,0.61,4,42.31,48.69,-6.39
YouGov,10/23/2018,1233,RV,41,47,-6,B,0.26,3,41.13,46.87,-5.74
YouGov,10/30/2018,1296,RV,42,47,-5,B,0.26,3,42.13,46.87,-4.74
Morning Consult,10/30/2018,2543,RV,38,46,-8,B-,0.57,2.7,38.29,45.71,-7.43
Harris Interactive,10/28/2018,1835,RV,38,47,-9,C+,-1.52,2.3,37.24,47.76,-10.52
Rasmussen Reports/Pulse Opinion Research,10/25/2018,2500,LV,44,47,-3,C+,-1.49,2.3,43.26,47.74,-4.49
Marist College,10/29/2018,509,LV,43,52,-9,A,-0.46,4,42.77,52.23,-9.46
Harris Interactive,11/1/2018,2177,LV,43,48,-5,C+,-1.52,2.3,42.24,48.76,-6.52
Lucid,10/25/2018,826,LV,47,53,-6,B-,0.75,2.7,47.38,52.62,-5.25
ABC News/Washington Post,11/1/2018,737,LV,44,52,-8,A+,0.61,4,44.31,51.69,-7.39
NBC News/Wall Street Journal,11/3/2018,774,LV,43,50,-7,A-,0.81,3.7,43.4,49.6,-6.19
IBD/TIPP,11/3/2018,798,LV,41,50,-9,A-,-0.78,3.7,40.61,50.39,-9.78
SSRS,11/3/2018,1151,LV,42,55,-13,A-,-0.07142857,3.7,41.96428572,55.03571429,-13.07142857
Morning Consult,11/2/2018,1961,RV,40,43,-3,B-,0.57263158,2.7,40.28631579,42.71368421,-2.42736842
Rasmussen Reports/Pulse Opinion Research,11/1/2018,2500,LV,46,45,1,C+,-1.4892512,2.3,45.2553744,45.7446256,-0.4892512
